Data;Horário;Tensao Contínua;Umidade;Temperatura
2022-02-09;21:11:54;25.0;84.6;26.0
2022-02-09;21:11:57;25.0;84.6;26.0
2022-02-09;21:11:58;25.0;84.6;26.0
2022-02-09;21:12:00;25.0;84.6;26.0
2022-02-09;21:12:02;25.0;84.5;26.0
2022-02-09;21:12:04;25.0;84.5;26.0
2022-02-09;21:12:05;25.0;84.5;26.0
2022-02-09;21:12:08;25.0;84.5;26.0
2022-02-09;21:12:10;25.0;84.5;26.0
2022-02-09;21:12:12;25.0;84.6;26.0
2022-02-09;21:12:14;25.0;84.6;26.0
2022-02-09;21:12:16;25.0;84.6;26.0
2022-02-09;21:12:18;25.0;84.5;26.0
2022-02-09;21:12:20;25.0;84.5;26.0
2022-02-09;21:12:22;25.0;84.5;26.0
2022-02-09;21:12:24;25.0;84.5;26.0
2022-02-09;21:12:26;25.0;84.4;26.0
2022-02-09;21:12:28;25.0;84.5;26.0
2022-02-09;21:12:30;25.0;84.5;26.0
2022-02-09;21:12:32;25.0;84.4;26.0
2022-02-09;21:12:34;25.0;84.5;26.0
2022-02-09;21:12:36;25.0;84.4;26.0
2022-02-09;21:12:38;25.0;84.4;26.0
2022-02-09;21:12:40;25.0;84.4;26.0
2022-02-09;21:12:42;7.56;84.4;26.0
2022-02-09;21:12:44;25.0;84.4;26.1
2022-02-10;00:08:34;25.0;84.5;25.6
2022-02-10;00:08:36;25.0;85.0;25.6
2022-02-10;00:08:37;25.0;85.6;25.6
2022-02-10;00:08:39;25.0;85.9;25.6
2022-02-10;00:08:41;25.0;85.9;25.6
2022-02-10;00:08:43;25.0;85.8;25.6
2022-02-10;00:08:45;25.0;85.7;25.6
2022-02-10;00:08:46;25.0;85.5;25.6
2022-02-10;00:08:48;25.0;85.3;25.6
2022-02-10;00:08:50;25.0;85.2;25.6
2022-02-10;00:08:52;25.0;85.1;25.6
2022-02-10;00:08:54;25.0;85.0;25.6
2022-02-10;00:08:56;25.0;85.0;25.6
2022-02-10;00:08:58;25.0;84.9;25.6
2022-02-10;00:09:00;25.0;84.9;25.6
2022-02-10;00:09:02;25.0;84.8;25.6
2022-02-10;00:09:04;25.0;84.8;25.6
2022-02-10;00:09:06;25.0;84.8;25.6
2022-02-10;00:09:08;25.0;84.8;25.6
2022-02-10;00:09:10;25.0;84.8;25.6
2022-02-10;00:09:12;25.0;84.8;25.6
2022-02-10;00:09:14;25.0;84.8;25.6
2022-02-10;00:09:16;25.0;84.8;25.6
2022-02-10;00:09:18;25.0;84.8;25.6
2022-02-10;00:09:20;25.0;84.8;25.6
2022-02-10;00:09:22;25.0;84.8;25.6
2022-02-10;00:09:23;25.0;84.8;25.6
2022-02-10;00:09:26;25.0;84.7;25.6
2022-02-10;00:09:28;25.0;84.7;25.6
2022-02-10;00:09:30;25.0;84.7;25.6
2022-02-10;00:09:32;25.0;84.7;25.6
2022-02-10;00:09:34;25.0;84.7;25.6
2022-02-10;00:09:36;25.0;84.7;25.6
2022-02-10;00:09:38;25.0;84.7;25.6
2022-02-10;00:09:40;25.0;84.7;25.6
2022-02-10;00:09:42;25.0;84.7;25.6
2022-02-10;00:09:44;25.0;84.7;25.6
2022-02-10;00:09:46;25.0;84.7;25.6
2022-02-10;00:09:48;25.0;84.7;25.6
2022-02-10;00:09:50;25.0;84.7;25.6
2022-02-10;00:09:52;25.0;84.7;25.6
2022-02-10;00:09:54;25.0;84.7;25.6
2022-02-10;00:09:56;25.0;84.7;25.6
2022-02-10;00:09:58;25.0;84.7;25.6
2022-02-10;00:10:00;25.0;84.7;25.6
2022-02-10;00:10:02;25.0;84.7;25.6
2022-02-10;00:10:04;25.0;84.7;25.6
2022-02-10;00:10:06;25.0;84.7;25.6
2022-02-10;00:10:08;25.0;84.7;25.6
2022-02-10;00:10:10;25.0;84.7;25.6
2022-02-10;00:10:12;25.0;84.7;25.6
2022-02-10;00:10:14;25.0;84.7;25.6
2022-02-10;00:10:16;25.0;84.7;25.6
2022-02-10;00:10:18;25.0;84.7;25.6
2022-02-10;00:10:20;25.0;84.6;25.6
2022-02-10;00:10:22;25.0;84.6;25.7
2022-02-10;00:10:24;25.0;84.5;25.6
2022-02-10;00:10:26;25.0;84.5;25.6
2022-02-10;00:10:28;25.0;84.5;25.6
2022-02-10;00:10:30;25.0;84.5;25.6
2022-02-10;00:10:32;25.0;84.5;25.6
2022-02-10;00:10:34;25.0;84.5;25.6
2022-02-10;00:10:36;25.0;84.5;25.6
2022-02-10;00:10:38;9.18;84.5;25.6
2022-02-10;00:10:40;25.0;84.5;25.6
2022-02-10;00:10:42;25.0;84.5;25.6
2022-02-10;00:10:44;25.0;84.6;25.7
2022-02-10;00:10:46;25.0;84.6;25.6
2022-02-10;00:10:48;25.0;84.6;25.6
2022-02-10;00:10:50;25.0;84.6;25.7
2022-02-10;00:10:52;25.0;84.6;25.7
2022-02-10;00:10:54;25.0;84.5;25.6
2022-02-10;00:10:55;25.0;84.5;25.6
2022-02-10;00:10:57;25.0;84.5;25.6
2022-02-10;00:10:59;25.0;84.5;25.6
2022-02-10;00:11:01;25.0;84.6;25.7
2022-02-10;00:11:03;25.0;84.5;25.6
2022-02-10;00:11:05;25.0;84.5;25.6
2022-02-10;00:11:07;25.0;84.6;25.7
2022-02-10;00:11:09;25.0;84.6;25.7
2022-02-10;00:11:11;25.0;84.5;25.6
2022-02-10;00:11:13;25.0;84.6;25.7
2022-02-10;00:11:15;25.0;84.6;25.7
2022-02-10;00:11:17;25.0;84.6;25.7
2022-02-10;00:11:19;25.0;84.5;25.6
2022-02-10;00:11:21;25.0;84.5;25.6
